FW Layer;Batch;Avg Time(s);Avg Performance(imgs/s)
Conv2D;128;0.0358;3580.96
BatchNorm2D;128;0.0170;7547.80
ReLU;128;0.0064;19990.52
MaxPool2D;128;0.0070;18418.78
Conv2D;128;0.0856;1501.43
BatchNorm2D;128;0.0106;12120.07
ReLU;128;0.0036;35852.10
MaxPool2D;128;0.0033;38918.10
Conv2D;128;0.0914;1401.50
BatchNorm2D;128;0.0046;27848.75
ReLU;128;0.0012;101805.49
MaxPool2D;128;0.0021;62959.33
Flatten;128;0.0000;10787532.79
Dense;128;0.0301;4247.06
ReLU;128;0.0000;2725946.82
Dropout;128;0.0002;580185.75
Dense;128;0.0016;81962.38
Softmax;128;0.0013;94949.82
