FW Layer;Batch;Avg Time(s);Avg Performance(imgs/s)
Conv2D;92;0.0284;3248.02
BatchNorm2D;92;0.0130;7083.44
ReLU;92;0.0049;18908.27
MaxPool2D;92;0.0056;16444.41
Conv2D;92;0.0676;1361.00
BatchNorm2D;92;0.0062;14815.52
ReLU;92;0.0017;52720.19
MaxPool2D;92;0.0024;38804.64
Conv2D;92;0.0830;1109.96
BatchNorm2D;92;0.0033;27768.43
ReLU;92;0.0011;81431.01
MaxPool2D;92;0.0017;52711.53
Flatten;92;0.0000;6584450.54
Dense;92;0.0216;4252.64
ReLU;92;0.0000;2436017.40
Dropout;92;0.0002;541636.53
Dense;92;0.0011;81310.67
Softmax;92;0.0010;92278.39
