FW Layer;Batch;Avg Time(s);Avg Performance(imgs/s)
Conv2D;24;0.0100;2439.53
BatchNorm2D;24;0.0044;5526.48
ReLU;24;0.0019;13155.05
MaxPool2D;24;0.0017;15415.37
Conv2D;24;0.0289;842.91
BatchNorm2D;24;0.0012;20298.53
ReLU;24;0.0006;42692.84
MaxPool2D;24;0.0008;31408.65
Conv2D;24;0.0426;563.18
BatchNorm2D;24;0.0006;38371.43
ReLU;24;0.0002;104288.52
MaxPool2D;24;0.0004;67198.24
Flatten;24;0.0000;2401060.61
Dense;24;0.0065;3697.78
ReLU;24;0.0000;1032200.24
Dropout;24;0.0001;284190.59
Dense;24;0.0003;74121.40
Softmax;24;0.0003;72837.00
