FW Layer;Batch;Avg Time(s);Avg Performance(imgs/s)
Conv2D;176;0.0458;3846.99
BatchNorm2D;176;0.0242;7362.89
ReLU;176;0.0088;19986.34
MaxPool2D;176;0.0097;18377.22
Conv2D;176;0.1061;1664.13
BatchNorm2D;176;0.0142;12412.03
ReLU;176;0.0047;37593.42
MaxPool2D;176;0.0045;38981.69
Conv2D;176;0.0964;1837.79
BatchNorm2D;176;0.0060;29201.62
ReLU;176;0.0018;102046.45
MaxPool2D;176;0.0024;74552.05
Flatten;176;0.0000;14672986.77
Dense;176;0.0421;4198.37
ReLU;176;0.0001;3001230.89
Dropout;176;0.0003;604187.83
Dense;176;0.0022;80559.97
Softmax;176;0.0019;93852.40
