FW Layer;Batch;Avg Time(s);Avg Performance(imgs/s)
Conv2D;64;0.0198;3264.84
BatchNorm2D;64;0.0099;6473.61
ReLU;64;0.0036;17862.04
MaxPool2D;64;0.0041;16042.12
Conv2D;64;0.0490;1308.66
BatchNorm2D;64;0.0044;14777.30
ReLU;64;0.0013;49182.71
MaxPool2D;64;0.0017;38016.47
Conv2D;64;0.0818;782.99
BatchNorm2D;64;0.0021;30578.47
ReLU;64;0.0007;86333.70
MaxPool2D;64;0.0012;54988.11
Flatten;64;0.0000;5099001.01
Dense;64;0.0154;4146.03
ReLU;64;0.0000;1971631.66
Dropout;64;0.0001;477080.23
Dense;64;0.0008;79505.20
Softmax;64;0.0007;89919.14
