FW Layer;Batch;Avg Time(s);Avg Performance(imgs/s)
Conv2D;184;0.0457;4036.72
BatchNorm2D;184;0.0245;7516.00
ReLU;184;0.0095;19727.73
MaxPool2D;184;0.0095;19577.01
Conv2D;184;0.1205;1528.11
BatchNorm2D;184;0.0146;12625.10
ReLU;184;0.0051;36393.30
MaxPool2D;184;0.0046;39538.64
Conv2D;184;0.1047;1784.78
BatchNorm2D;184;0.0062;29735.30
ReLU;184;0.0018;101499.74
MaxPool2D;184;0.0030;64538.99
Flatten;184;0.0000;14448750.81
Dense;184;0.0436;4224.21
ReLU;184;0.0001;2947593.01
Dropout;184;0.0003;609221.42
Dense;184;0.0023;79851.12
Softmax;184;0.0019;95277.05
