FW Layer;Batch;Avg Time(s);Avg Performance(imgs/s)
Conv2D;8;0.0054;1494.10
BatchNorm2D;8;0.0031;2564.71
ReLU;8;0.0005;18478.04
MaxPool2D;8;0.0079;1015.35
Conv2D;8;0.0216;371.42
BatchNorm2D;8;0.0008;10119.31
ReLU;8;0.0002;46161.71
MaxPool2D;8;0.0038;2136.09
Conv2D;8;0.0180;445.64
BatchNorm2D;8;0.0004;20193.25
ReLU;8;0.0001;85334.37
MaxPool2D;8;0.0022;3660.30
Flatten;8;0.0000;447206.85
Dense;8;0.0024;3319.27
ReLU;8;0.0000;430216.21
Dropout;8;0.0001;154168.48
Dense;8;0.0001;61742.80
Softmax;8;0.0002;47456.61
