FW Layer;Batch;Avg Time(s);Avg Performance(imgs/s)
Conv2D;160;0.0405;3967.93
BatchNorm2D;160;0.0221;7246.24
ReLU;160;0.0081;19681.83
MaxPool2D;160;0.0085;18898.81
Conv2D;160;0.1047;1529.48
BatchNorm2D;160;0.0131;12273.37
ReLU;160;0.0044;36077.78
MaxPool2D;160;0.0044;36599.28
Conv2D;160;0.0976;1645.30
BatchNorm2D;160;0.0057;28189.49
ReLU;160;0.0016;100806.93
MaxPool2D;160;0.0026;64326.67
Flatten;160;0.0000;13271202.30
Dense;160;0.0386;4156.73
ReLU;160;0.0001;2776649.29
Dropout;160;0.0003;567532.34
Dense;160;0.0022;76438.17
Softmax;160;0.0017;95599.45
