FW Layer;Batch;Avg Time(s);Avg Performance(imgs/s)
Conv2D;16;0.0083;1996.78
BatchNorm2D;16;0.0029;5621.10
ReLU;16;0.0015;11090.46
MaxPool2D;16;0.0012;14368.18
Conv2D;16;0.0259;622.18
BatchNorm2D;16;0.0008;20034.62
ReLU;16;0.0003;49502.71
MaxPool2D;16;0.0006;33763.21
Conv2D;16;0.0314;513.65
BatchNorm2D;16;0.0005;33837.11
ReLU;16;0.0002;103584.63
MaxPool2D;16;0.0005;57201.43
Flatten;16;0.0000;1905939.30
Dense;16;0.0047;3394.43
ReLU;16;0.0000;733656.96
Dropout;16;0.0001;215409.88
Dense;16;0.0002;69406.20
Softmax;16;0.0002;62854.16
