FW Layer;Batch;Avg Time(s);Avg Performance(imgs/s)
Conv2D;192;0.0522;3692.42
BatchNorm2D;192;0.0262;7447.94
ReLU;192;0.0102;19550.92
MaxPool2D;192;0.0102;19143.78
Conv2D;192;0.1466;1365.32
BatchNorm2D;192;0.0162;12235.90
ReLU;192;0.0054;36131.29
MaxPool2D;192;0.0053;36738.04
Conv2D;192;0.1266;1600.21
BatchNorm2D;192;0.0067;28594.39
ReLU;192;0.0018;104446.06
MaxPool2D;192;0.0024;80591.83
Flatten;192;0.0000;15785786.29
Dense;192;0.0457;4209.44
ReLU;192;0.0001;3014281.65
Dropout;192;0.0003;620265.47
Dense;192;0.0023;81755.71
Softmax;192;0.0020;97274.61
