FW Layer;Batch;Avg Time(s);Avg Performance(imgs/s)
Conv2D;8;0.0185;431.84
BatchNorm2D;8;0.0029;2757.11
ReLU;8;0.0004;19281.22
MaxPool2D;8;0.0077;1044.03
Conv2D;8;0.0272;294.43
BatchNorm2D;8;0.0007;11960.60
ReLU;8;0.0002;43434.02
MaxPool2D;8;0.0037;2154.74
Conv2D;8;0.0192;417.27
BatchNorm2D;8;0.0004;20188.46
ReLU;8;0.0001;88796.83
MaxPool2D;8;0.0022;3730.13
Flatten;8;0.0000;521082.22
Dense;8;0.0023;3488.73
ReLU;8;0.0000;431639.82
Dropout;8;0.0000;165565.51
Dense;8;0.0001;62691.50
Softmax;8;0.0002;49129.40
