FW Layer;Batch;Avg Time(s);Avg Performance(imgs/s)
Conv2D;8;0.0055;1508.04
BatchNorm2D;8;0.0011;7962.94
ReLU;8;0.0005;16295.25
MaxPool2D;8;0.0009;11946.10
Conv2D;8;0.0177;455.05
BatchNorm2D;8;0.0004;17939.90
ReLU;8;0.0001;54952.95
MaxPool2D;8;0.0002;36344.03
Conv2D;8;0.0163;493.14
BatchNorm2D;8;0.0003;27499.83
ReLU;8;0.0001;103640.46
MaxPool2D;8;0.0001;63272.42
Flatten;8;0.0000;1402502.19
Dense;8;0.0024;3262.83
ReLU;8;0.0000;432174.81
Dropout;8;0.0001;124279.10
Dense;8;0.0001;57885.29
Softmax;8;0.0002;48464.60
