FW Layer;Batch;Avg Time(s);Avg Performance(imgs/s)
Conv2D;32;0.0144;2271.70
BatchNorm2D;32;0.0060;5454.53
ReLU;32;0.0022;15039.60
MaxPool2D;32;0.0024;14778.19
Conv2D;32;0.0333;1014.38
BatchNorm2D;32;0.0020;17489.65
ReLU;32;0.0007;45466.26
MaxPool2D;32;0.0017;25772.36
Conv2D;32;0.0654;520.73
BatchNorm2D;32;0.0009;35542.80
ReLU;32;0.0004;88364.63
MaxPool2D;32;0.0021;40685.38
Flatten;32;0.0000;2693851.39
Dense;32;0.0094;3593.51
ReLU;32;0.0000;1268699.39
Dropout;32;0.0001;345490.73
Dense;32;0.0004;75008.45
Softmax;32;0.0004;75620.55
